state,state_name,assessment,subject,subject_label,grade,school_year,administration_year,tier_rank,tier_id,tier_label,pct_students,is_below_basic_analog,below_basic_analog_label,source_value_kind,notes,source_url,source_page_url
CT,Connecticut,Smarter Balanced,ELA,English Language Arts,03,2024-2025,2025,4,level_4_exceeded,Level 4 Exceeded,26.0,False,Level 1 Not Met,reported_exact_tier,Connecticut EdSight's public Smarter Balanced report publishes the statewide Grade 3 ELA performance-level percentages directly for All Students.,https://edsight.ct.gov/SASStoredProcess/guest?_grade=3&_year=2024-25&_district=State+of+Connecticut&_school=&_subject=ELA&_subgroup=All+Students&_program=%2FCTDOE%2FEdSight%2FRelease%2FReporting%2FPublic%2FReports%2FStoredProcesses%2FSmarterBalancedAssessmentReport_SiteCore&_select=Submit,https://public-edsight.ct.gov/performance/smarter-balanced-achievement-participation
DC,District of Columbia,DC CAPE,ELA,English Language Arts,03,2024-2025,2025,1,level_1,Did Not Yet Meet Expectations,34.4,True,Did Not Yet Meet Expectations,reported_exact_tier,"OSSE publishes exact statewide Grade 3 DC CAPE ELA performance levels on the Performance Level sheet. Those exact tiers are DC CAPE-only; OSSE's separate Meeting/Exceeding tab combines DC CAPE and MSAA, so its 30.4 percent proficiency figure is slightly above the DC CAPE-only Level 4+5 total.",https://app.box.com/index.php?rm=box_download_shared_file&shared_name=l1fz6ucfcut7q7pg8qzbo3l9ffb19pmm&file_id=f_1962534999838,https://osse.dc.gov/node/1794106
DC,District of Columbia,DC CAPE,ELA,English Language Arts,03,2024-2025,2025,2,level_2,Partially Met Expectations,17.1,False,Did Not Yet Meet Expectations,reported_exact_tier,"OSSE publishes exact statewide Grade 3 DC CAPE ELA performance levels on the Performance Level sheet. Those exact tiers are DC CAPE-only; OSSE's separate Meeting/Exceeding tab combines DC CAPE and MSAA, so its 30.4 percent proficiency figure is slightly above the DC CAPE-only Level 4+5 total.",https://app.box.com/index.php?rm=box_download_shared_file&shared_name=l1fz6ucfcut7q7pg8qzbo3l9ffb19pmm&file_id=f_1962534999838,https://osse.dc.gov/node/1794106
DC,District of Columbia,DC CAPE,ELA,English Language Arts,03,2024-2025,2025,3,level_3,Approached Expectations,18.3,False,Did Not Yet Meet Expectations,reported_exact_tier,"OSSE publishes exact statewide Grade 3 DC CAPE ELA performance levels on the Performance Level sheet. Those exact tiers are DC CAPE-only; OSSE's separate Meeting/Exceeding tab combines DC CAPE and MSAA, so its 30.4 percent proficiency figure is slightly above the DC CAPE-only Level 4+5 total.",https://app.box.com/index.php?rm=box_download_shared_file&shared_name=l1fz6ucfcut7q7pg8qzbo3l9ffb19pmm&file_id=f_1962534999838,https://osse.dc.gov/node/1794106
DC,District of Columbia,DC CAPE,ELA,English Language Arts,03,2024-2025,2025,4,level_4,Met Expectations,26.2,False,Did Not Yet Meet Expectations,reported_exact_tier,"OSSE publishes exact statewide Grade 3 DC CAPE ELA performance levels on the Performance Level sheet. Those exact tiers are DC CAPE-only; OSSE's separate Meeting/Exceeding tab combines DC CAPE and MSAA, so its 30.4 percent proficiency figure is slightly above the DC CAPE-only Level 4+5 total.",https://app.box.com/index.php?rm=box_download_shared_file&shared_name=l1fz6ucfcut7q7pg8qzbo3l9ffb19pmm&file_id=f_1962534999838,https://osse.dc.gov/node/1794106
DC,District of Columbia,DC CAPE,ELA,English Language Arts,03,2024-2025,2025,5,level_5,Exceeded Expectations,4.0,False,Did Not Yet Meet Expectations,reported_exact_tier,"OSSE publishes exact statewide Grade 3 DC CAPE ELA performance levels on the Performance Level sheet. Those exact tiers are DC CAPE-only; OSSE's separate Meeting/Exceeding tab combines DC CAPE and MSAA, so its 30.4 percent proficiency figure is slightly above the DC CAPE-only Level 4+5 total.",https://app.box.com/index.php?rm=box_download_shared_file&shared_name=l1fz6ucfcut7q7pg8qzbo3l9ffb19pmm&file_id=f_1962534999838,https://osse.dc.gov/node/1794106
FL,Florida,FAST,ELA,English Language Arts,03,2024-2025,2025,1,level_1,Level 1,22.0,True,Level 1,reported_exact_tier,Florida publishes exact statewide Grade 3 FAST ELA PM3 percentages for Levels 1 through 5 in the district report workbook.,https://origin.fldoe.org/core/fileparse.php/5668/urlt/3ELA03SRDSpring25.xls,https://www.fldoe.org/accountability/assessments/k-12-student-assessment/results/2025.stml
FL,Florida,FAST,ELA,English Language Arts,03,2024-2025,2025,2,level_2,Level 2,21.0,False,Level 1,reported_exact_tier,Florida publishes exact statewide Grade 3 FAST ELA PM3 percentages for Levels 1 through 5 in the district report workbook.,https://origin.fldoe.org/core/fileparse.php/5668/urlt/3ELA03SRDSpring25.xls,https://www.fldoe.org/accountability/assessments/k-12-student-assessment/results/2025.stml
FL,Florida,FAST,ELA,English Language Arts,03,2024-2025,2025,3,level_3,Level 3,23.0,False,Level 1,reported_exact_tier,Florida publishes exact statewide Grade 3 FAST ELA PM3 percentages for Levels 1 through 5 in the district report workbook.,https://origin.fldoe.org/core/fileparse.php/5668/urlt/3ELA03SRDSpring25.xls,https://www.fldoe.org/accountability/assessments/k-12-student-assessment/results/2025.stml
FL,Florida,FAST,ELA,English Language Arts,03,2024-2025,2025,4,level_4,Level 4,21.0,False,Level 1,reported_exact_tier,Florida publishes exact statewide Grade 3 FAST ELA PM3 percentages for Levels 1 through 5 in the district report workbook.,https://origin.fldoe.org/core/fileparse.php/5668/urlt/3ELA03SRDSpring25.xls,https://www.fldoe.org/accountability/assessments/k-12-student-assessment/results/2025.stml
FL,Florida,FAST,ELA,English Language Arts,03,2024-2025,2025,5,level_5,Level 5,14.0,False,Level 1,reported_exact_tier,Florida publishes exact statewide Grade 3 FAST ELA PM3 percentages for Levels 1 through 5 in the district report workbook.,https://origin.fldoe.org/core/fileparse.php/5668/urlt/3ELA03SRDSpring25.xls,https://www.fldoe.org/accountability/assessments/k-12-student-assessment/results/2025.stml
GA,Georgia,Georgia Milestones,ELA,English Language Arts,03,2024-2025,2025,1,beginning_learner,Beginning Learner,36.902085920430075,True,Beginning Learner,reported_exact_tier,Georgia publishes exact statewide Grade 3 Georgia Milestones ELA performance-level percentages in the state summary workbook.,https://url.gadoe.org/r9zz0,https://gadoe.org/assessment-accountability/georgia-milestones/
GA,Georgia,Georgia Milestones,ELA,English Language Arts,03,2024-2025,2025,2,developing_learner,Developing Learner,28.17800273511797,False,Beginning Learner,reported_exact_tier,Georgia publishes exact statewide Grade 3 Georgia Milestones ELA performance-level percentages in the state summary workbook.,https://url.gadoe.org/r9zz0,https://gadoe.org/assessment-accountability/georgia-milestones/
GA,Georgia,Georgia Milestones,ELA,English Language Arts,03,2024-2025,2025,3,proficient_learner,Proficient Learner,23.626546363393434,False,Beginning Learner,reported_exact_tier,Georgia publishes exact statewide Grade 3 Georgia Milestones ELA performance-level percentages in the state summary workbook.,https://url.gadoe.org/r9zz0,https://gadoe.org/assessment-accountability/georgia-milestones/
GA,Georgia,Georgia Milestones,ELA,English Language Arts,03,2024-2025,2025,4,distinguished_learner,Distinguished Learner,11.293364981058522,False,Beginning Learner,reported_exact_tier,Georgia publishes exact statewide Grade 3 Georgia Milestones ELA performance-level percentages in the state summary workbook.,https://url.gadoe.org/r9zz0,https://gadoe.org/assessment-accountability/georgia-milestones/
IN,Indiana,ILEARN,ELA,English Language Arts,03,2024-2025,2025,1,below_proficiency,Below Proficiency,39.18,True,Below Proficiency,derived_exact_tier_from_published_counts,Indiana publishes statewide Grade 3 ILEARN counts by performance level. Percentages here are derived from those published counts and total tested.,https://secure.in.gov/doe/files/ILEARN-2025-Grade3-8-Final-Statewide-Summary_20250714.xlsx,https://secure.in.gov/doe/it/data-center-and-reports/
IN,Indiana,ILEARN,ELA,English Language Arts,03,2024-2025,2025,2,approaching_proficiency,Approaching Proficiency,20.56,False,Below Proficiency,derived_exact_tier_from_published_counts,Indiana publishes statewide Grade 3 ILEARN counts by performance level. Percentages here are derived from those published counts and total tested.,https://secure.in.gov/doe/files/ILEARN-2025-Grade3-8-Final-Statewide-Summary_20250714.xlsx,https://secure.in.gov/doe/it/data-center-and-reports/
IN,Indiana,ILEARN,ELA,English Language Arts,03,2024-2025,2025,3,at_proficiency,At Proficiency,23.26,False,Below Proficiency,derived_exact_tier_from_published_counts,Indiana publishes statewide Grade 3 ILEARN counts by performance level. Percentages here are derived from those published counts and total tested.,https://secure.in.gov/doe/files/ILEARN-2025-Grade3-8-Final-Statewide-Summary_20250714.xlsx,https://secure.in.gov/doe/it/data-center-and-reports/
IN,Indiana,ILEARN,ELA,English Language Arts,03,2024-2025,2025,4,above_proficiency,Above Proficiency,17.0,False,Below Proficiency,derived_exact_tier_from_published_counts,Indiana publishes statewide Grade 3 ILEARN counts by performance level. Percentages here are derived from those published counts and total tested.,https://secure.in.gov/doe/files/ILEARN-2025-Grade3-8-Final-Statewide-Summary_20250714.xlsx,https://secure.in.gov/doe/it/data-center-and-reports/
KY,Kentucky,KSA,ELA,Reading,03,2023-2024,2024,1,novice,Novice,24.8,True,Novice,reported_exact_tier,Kentucky publishes exact statewide Grade 3 Reading performance-level percentages in the KSA yearbook.,https://www.education.ky.gov/AA/Reports/Documents/KY1161534_KY_SP25_Yearbook.pdf,https://www.education.ky.gov/AA/Assessments/Pages/KentuckySummativeAssessment-.aspx
